"ecoregion","TAXA","value"
"PA0508","Mammals",0.0249766338893981
"PA0509","Mammals",0.0247030724309137
"PA0510","Mammals",0.0108086952796932
"PA0511","Mammals",0.00841625016614293
"PA0512","Mammals",0.000139953896906269
"PA0513","Mammals",0.00757853717716389
"PA0514","Mammals",0.0129197055919585
"PA0515","Mammals",0.0107675800258396
"PA0516","Mammals",0.0477166863841358
"PA0517","Mammals",0.0062700189672435
"PA0518","Mammals",0.0485881843667461
"PA0519","Mammals",0.00741962487812787
"PA0520","Mammals",0.000454722570663212
"PA0521","Mammals",0.00213269297198176
"PA0601","Mammals",0.0506538114084982
"PA0602","Mammals",0.00976488740299856
"PA0603","Mammals",0.0336242169759073
"PA0604","Mammals",0.000686177313972779
"PA0605","Mammals",0.0156379484985807
"PA0606","Mammals",0.0253006318462906
"PA0607","Mammals",0.0192877779757565
"PA0608","Mammals",0.0262580001854209
"PA0609","Mammals",0.00725381841417562
"PA0610","Mammals",0.00179217400032036
"PA0611","Mammals",0.0139150896379042
"PA0801","Mammals",0.00767961505074934
"PA0802","Mammals",0.00732469677986166
"PA0803","Mammals",0.00839411529876835
"PA0804","Mammals",0.0133494222597966
"PA0805","Mammals",0.0505309670193277
"PA0806","Mammals",0.00437549616452591
"PA0807","Mammals",0
"PA0808","Mammals",0.0228676266605857
"PA0809","Mammals",0.00661734217489667
"PA0810","Mammals",0.0131688204513825
"PA0811","Mammals",0.00211885715640246
"PA0812","Mammals",0.0191764121569718
"PA0813","Mammals",0.0210217179309457
"PA0814","Mammals",0.0297446626336361
"PA0815","Mammals",0.00149444412281856
"PA0816","Mammals",0.00541044504846032
"PA0817","Mammals",0.00291630280852724
"PA0818","Mammals",0.00752166590395685
"PA0901","Mammals",0.00552709608416652
"PA0902","Mammals",0.000337636302796836
"PA0903","Mammals",0.00100072304804912
