"TAXA","ecoregions","allLUType","value"
"Amphibians","AA0702","CurNC_M",0.641921758490965
"Amphibians","AA0702","PriFor",1
"Amphibians","AA0703","Cur0",1
"Amphibians","AA0703","CurC",0.413440210495114
"Amphibians","AA0703","CurC_L",0.949880057665728
"Amphibians","AA0703","CurC_M",0.641921758490965
"Amphibians","AA0703","CurNC",0.413440210495114
"Amphibians","AA0703","CurNC_L",0.949880057665728
"Amphibians","AA0703","CurNC_M",0.641921758490965
"Amphibians","AA0703","PriFor",1
"Amphibians","AA0704","Cur0",1
"Amphibians","AA0704","CurC",0.413440210495114
"Amphibians","AA0704","CurC_L",0.949880057665728
"Amphibians","AA0704","CurC_M",0.641921758490965
"Amphibians","AA0704","CurNC",0.413440210495114
"Amphibians","AA0704","CurNC_L",0.949880057665728
"Amphibians","AA0704","CurNC_M",0.641921758490965
"Amphibians","AA0704","PriFor",1
"Amphibians","AA0705","Cur0",1
"Amphibians","AA0705","CurC",0.413440210495114
"Amphibians","AA0705","CurC_L",0.949880057665728
"Amphibians","AA0705","CurC_M",0.641921758490965
"Amphibians","AA0705","CurNC",0.413440210495114
"Amphibians","AA0705","CurNC_L",0.949880057665728
"Amphibians","AA0705","CurNC_M",0.641921758490965
"Amphibians","AA0705","PriFor",1
"Amphibians","AA0706","Cur0",1
"Amphibians","AA0706","CurC",0.413440210495114
"Amphibians","AA0706","CurC_L",0.949880057665728
"Amphibians","AA0706","CurC_M",0.641921758490965
"Amphibians","AA0706","CurNC",0.413440210495114
"Amphibians","AA0706","CurNC_L",0.949880057665728
"Amphibians","AA0706","CurNC_M",0.641921758490965
"Amphibians","AA0706","PriFor",1
"Amphibians","AA0707","Cur0",1
"Amphibians","AA0707","CurC",0.413440210495114
"Amphibians","AA0707","CurC_L",0.949880057665728
"Amphibians","AA0707","CurC_M",0.641921758490965
"Amphibians","AA0707","CurNC",0.413440210495114
"Amphibians","AA0707","CurNC_L",0.949880057665728
"Amphibians","AA0707","CurNC_M",0.641921758490965
"Amphibians","AA0707","PriFor",1
"Amphibians","AA0708","Cur0",1
"Amphibians","AA0708","CurC",0.413440210495114
"Amphibians","AA0708","CurC_L",0.949880057665728
"Amphibians","AA0708","CurC_M",0.641921758490965
"Amphibians","AA0708","CurNC",0.413440210495114
"Amphibians","AA0708","CurNC_L",0.949880057665728
"Amphibians","AA0708","CurNC_M",0.641921758490965
"Amphibians","AA0708","PriFor",1
"Amphibians","AA0709","Cur0",1
"Amphibians","AA0709","CurC",0.413440210495114
"Amphibians","AA0709","CurC_L",0.949880057665728
"Amphibians","AA0709","CurC_M",0.641921758490965
"Amphibians","AA0709","CurNC",0.413440210495114
"Amphibians","AA0709","CurNC_L",0.949880057665728
"Amphibians","AA0709","CurNC_M",0.641921758490965
"Amphibians","AA0709","PriFor",1
"Amphibians","AA0801","Cur0",1
"Amphibians","AA0801","CurC",0.413440210495114
"Amphibians","AA0801","CurC_L",0.949880057665728
"Amphibians","AA0801","CurC_M",0.641921758490965
"Amphibians","AA0801","CurNC",0.413440210495114
"Amphibians","AA0801","CurNC_L",0.949880057665728
"Amphibians","AA0801","CurNC_M",0.641921758490965
"Amphibians","AA0801","PriFor",1
"Amphibians","AA0802","Cur0",1
"Amphibians","AA0802","CurC",0.413440210495114
"Amphibians","AA0802","CurC_L",0.949880057665728
"Amphibians","AA0802","CurC_M",0.641921758490965
"Amphibians","AA0802","CurNC",0.413440210495114
"Amphibians","AA0802","CurNC_L",0.949880057665728
"Amphibians","AA0802","CurNC_M",0.641921758490965
"Amphibians","AA0802","PriFor",1
"Amphibians","AA0803","Cur0",1
"Amphibians","AA0803","CurC",0.413440210495114
"Amphibians","AA0803","CurC_L",0.949880057665728
"Amphibians","AA0803","CurC_M",0.641921758490965
"Amphibians","AA0803","CurNC",0.413440210495114
"Amphibians","AA0803","CurNC_L",0.949880057665728
"Amphibians","AA0803","CurNC_M",0.641921758490965
"Amphibians","AA0803","PriFor",1
"Amphibians","AA1001","Cur0",1
"Amphibians","AA1001","CurC",0.413440210495114
"Amphibians","AA1001","CurC_L",0.949880057665728
"Amphibians","AA1001","CurC_M",0.641921758490965
"Amphibians","AA1001","CurNC",0.413440210495114
"Amphibians","AA1001","CurNC_L",0.949880057665728
"Amphibians","AA1001","CurNC_M",0.641921758490965
"Amphibians","AA1001","PriFor",1
"Amphibians","AA1002","Cur0",1
"Amphibians","AA1002","CurC",0.413440210495114
"Amphibians","AA1002","CurC_L",0.949880057665728
"Amphibians","AA1002","CurC_M",0.641921758490966
"Amphibians","AA1002","CurNC",0.413440210495114
"Amphibians","AA1002","CurNC_L",0.949880057665728
"Amphibians","AA1002","CurNC_M",0.641921758490966
"Amphibians","AA1002","PriFor",1
"Amphibians","AA1003","Cur0",1
"Amphibians","AA1003","CurC",0.413440210495114
"Amphibians","AA1003","CurC_L",0.949880057665728
"Amphibians","AA1003","CurC_M",0.641921758490965
"Amphibians","AA1003","CurNC",0.413440210495114
"Amphibians","AA1003","CurNC_L",0.949880057665728
"Amphibians","AA1003","CurNC_M",0.641921758490965
"Amphibians","AA1003","PriFor",1
"Amphibians","AA1201","Cur0",1
"Amphibians","AA1201","CurC",0.413440210495114
"Amphibians","AA1201","CurC_L",0.949880057665728
"Amphibians","AA1201","CurC_M",0.641921758490965
"Amphibians","AA1201","CurNC",0.413440210495114
"Amphibians","AA1201","CurNC_L",0.949880057665728
"Amphibians","AA1201","CurNC_M",0.641921758490965
"Amphibians","AA1201","PriFor",1
"Amphibians","AA1202","Cur0",1
"Amphibians","AA1202","CurC",0.413440210495114
"Amphibians","AA1202","CurC_L",0.949880057665728
"Amphibians","AA1202","CurC_M",0.641921758490965
"Amphibians","AA1202","CurNC",0.413440210495114
"Amphibians","AA1202","CurNC_L",0.949880057665728
"Amphibians","AA1202","CurNC_M",0.641921758490965
"Amphibians","AA1202","PriFor",1
"Amphibians","AA1203","Cur0",1
"Amphibians","AA1203","CurC",0.413440210495114
"Amphibians","AA1203","CurC_L",0.949880057665728
"Amphibians","AA1203","CurC_M",0.641921758490965
"Amphibians","AA1203","CurNC",0.413440210495114
"Amphibians","AA1203","CurNC_L",0.949880057665728
"Amphibians","AA1203","CurNC_M",0.641921758490965
"Amphibians","AA1203","PriFor",1
"Amphibians","AA1204","Cur0",1
"Amphibians","AA1204","CurC",0.413440210495114
"Amphibians","AA1204","CurC_L",0.949880057665728
"Amphibians","AA1204","CurC_M",0.641921758490965
"Amphibians","AA1204","CurNC",0.413440210495114
"Amphibians","AA1204","CurNC_L",0.949880057665728
"Amphibians","AA1204","CurNC_M",0.641921758490965
"Amphibians","AA1204","PriFor",1
"Amphibians","AA1205","Cur0",1
"Amphibians","AA1205","CurC",0.413440210495114
"Amphibians","AA1205","CurC_L",0.949880057665728
"Amphibians","AA1205","CurC_M",0.641921758490965
"Amphibians","AA1205","CurNC",0.413440210495114
"Amphibians","AA1205","CurNC_L",0.949880057665728
"Amphibians","AA1205","CurNC_M",0.641921758490965
"Amphibians","AA1205","PriFor",1
"Amphibians","AA1206","Cur0",1
"Amphibians","AA1206","CurC",0.413440210495114
"Amphibians","AA1206","CurC_L",0.949880057665728
"Amphibians","AA1206","CurC_M",0.641921758490965
"Amphibians","AA1206","CurNC",0.413440210495114
"Amphibians","AA1206","CurNC_L",0.949880057665728
"Amphibians","AA1206","CurNC_M",0.641921758490965
"Amphibians","AA1206","PriFor",1
"Amphibians","AA1207","Cur0",1
"Amphibians","AA1207","CurC",0.413440210495114
"Amphibians","AA1207","CurC_L",0.949880057665728
"Amphibians","AA1207","CurC_M",0.641921758490965
"Amphibians","AA1207","CurNC",0.413440210495114
"Amphibians","AA1207","CurNC_L",0.949880057665728
"Amphibians","AA1207","CurNC_M",0.641921758490965
"Amphibians","AA1207","PriFor",1
"Amphibians","AA1208","Cur0",1
"Amphibians","AA1208","CurC",0.413440210495114
"Amphibians","AA1208","CurC_L",0.949880057665728
"Amphibians","AA1208","CurC_M",0.641921758490965
"Amphibians","AA1208","CurNC",0.413440210495114
"Amphibians","AA1208","CurNC_L",0.949880057665728
"Amphibians","AA1208","CurNC_M",0.641921758490965
"Amphibians","AA1208","PriFor",1
"Amphibians","AA1209","Cur0",1
"Amphibians","AA1209","CurC",0.413440210495114
"Amphibians","AA1209","CurC_L",0.949880057665728
"Amphibians","AA1209","CurC_M",0.641921758490965
"Amphibians","AA1209","CurNC",0.413440210495114
"Amphibians","AA1209","CurNC_L",0.949880057665728
"Amphibians","AA1209","CurNC_M",0.641921758490965
"Amphibians","AA1209","PriFor",1
